name,rating,address,category,review_count,url,id
Capt Dave's Dana Point Dolphin & Whale Watching Safari,4.8,"24440 Dana Point Harbor Dr, Dana Point, CA 92629",Whale Watching Tours,791,https://www.yelp.com/biz/capt-daves-dana-point-dolphin-and-whale-watching-safari-dana-point?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,TV9a3Ri-w4ZV232m0w7HUQ
Orbic Air,4.8,"10750 Sherman Way, Atlantic Aviation, Burbank, CA 91505","Tours, Flight Instruction",226,https://www.yelp.com/biz/orbic-air-burbank?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,IigEBfM9KxGb4wpQcX5cjw
Atlas Passport and Visa Services,4.8,"606 E. Glenoaks Blvd., Ste 130, Glendale, CA 91207","Notaries, Translation Services, Passport & Visa Services",159,https://www.yelp.com/biz/atlas-passport-and-visa-services-glendale-5?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,ck-6otbgHXqC4L5INQz1TA
Elite 5 Star Travel,4.8,"525 W Valley Blvd, Ste C, Alhambra, CA 91803",Travel Services,223,https://www.yelp.com/biz/elite-5-star-travel-alhambra-9?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,_zIR_V86baPSC_H8xIEyPQ
A Authorized Passport Photos & Identification Services,4.8,"3978 W 6th St, Los Angeles, CA 90020",Passport & Visa Services,546,https://www.yelp.com/biz/a-authorized-passport-photos-and-identification-services-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,fcgA2ZrH3z5J5r0M3grBRg
The Los Angeles Museum Of Love,4.8,"4320 Melrose Ave, Los Angeles, CA 90029","Museums, Team Building Activities",201,https://www.yelp.com/biz/the-los-angeles-museum-of-love-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,OSzVXegUaG47GjzIc41Lfg
Gondola Getaway,4.7,"5437 E Ocean Blvd, Long Beach, CA 90803","Boating, Boat Charters, Boat Tours",861,https://www.yelp.com/biz/gondola-getaway-long-beach?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,FUuzbmkniEBzj7EG_4HgcA
Korean Cultural Center,4.7,"5505 Wilshire Blvd, Los Angeles, CA 90036","Language Schools, Museums, Cultural Center",58,https://www.yelp.com/biz/korean-cultural-center-los-angeles-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,RVI0JWdZ5yExvAuYTbYTGw
The Stahl House,4.7,"1635 Woods Dr, Los Angeles, CA 90069",Landmarks & Historical Buildings,45,https://www.yelp.com/biz/the-stahl-house-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,dT5GEBRGcToNm5ZUT9oHCA
LA-88 Oat Mountain-Chatsworth Nike Missile Site,4.7,"16100 Browns Canyon Rd, Los Angeles, CA 91326",Landmarks & Historical Buildings,16,https://www.yelp.com/biz/la-88-oat-mountain-chatsworth-nike-missile-site-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,Z_sx6OR8MLiG1k8Z2w9lQA
Dash Entertainment Solutions,4.7,"Los Angeles, CA 90036","Notaries, Passport & Visa Services",15,https://www.yelp.com/biz/dash-entertainment-solutions-los-angeles-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,k_RSkn2z0tvO0YlVFU8qGw
Hilltop Park,4.7,"2351 Dawson Ave, Signal Hill, CA 90755",Parks,327,https://www.yelp.com/biz/hilltop-park-signal-hill?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,EWuGXhM540e11EWZSSg7wg
LA Double Decker,4.7,"The Big Red Bus Company, Hollywood, CA 90028","Bus Tours, Party Bus Rentals",26,https://www.yelp.com/biz/la-double-decker-hollywood?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,6iI5fUyLy93TXe3fIGfClQ
Access Hollywood Tours,4.6,"6541 Hollywood Blvd, Los Angeles, CA 90028","Bus Tours, Historical Tours",386,https://www.yelp.com/biz/access-hollywood-tours-los-angeles-3?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,AKRPMeHI2zHiv32AvDneig
Wisdom Tree,4.6,"4730 Crystal Springs Dr, Los Angeles, CA 90027",Landmarks & Historical Buildings,29,https://www.yelp.com/biz/wisdom-tree-los-angeles-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,prIxnNVnFzB5qri89_pTwQ
Mulholland Drive,4.6,"From The 405 To The 101, Los Angeles, CA 90189",Local Flavor,145,https://www.yelp.com/biz/mulholland-drive-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,_AabsbQS9XtRObbIhqtdIA
China Visa Service Center,4.6,"5757 Wilshire Blvd, Ste 570, Los Angeles, CA 90010",Passport & Visa Services,74,https://www.yelp.com/biz/china-visa-service-center-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,kH1yWN3EXTcLCYjK-ZIA9g
Hollywood Bus Tours,4.6,"6609 Hollywood Blvd, Los Angeles, CA 90028",Tours,123,https://www.yelp.com/biz/hollywood-bus-tours-los-angeles-4?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,dpHcjZoQzlRmRdcpuT0PUA
The Nightfall Group,4.6,"8383 Wilshire Blvd, Ste 800, Beverly Hills, CA 90211","Vacation Rentals, Property Management, Travel Agents",41,https://www.yelp.com/biz/the-nightfall-group-beverly-hills-3?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,Pkw7Pd7t0JLjbzxwryRGBQ
Little Saigon,4.6,"Bolsa Ave, Westminster, CA 92683",Local Flavor,18,https://www.yelp.com/biz/little-saigon-westminster?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,C4ZVP_19b0j6e1j4yps78w
Griffith Observatory,4.5,"2800 E Observatory Rd, Los Angeles, CA 90027","Observatories, Hiking",4001,https://www.yelp.com/biz/griffith-observatory-los-angeles-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,bodDHNERXIOSNx3GAonIGg
Baldwin Hills Scenic Overlook,4.5,"6300 Hetzler Rd, Culver City, CA 90232","Parks, Hiking",1116,https://www.yelp.com/biz/baldwin-hills-scenic-overlook-culver-city?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,MmH8oPPDKiHR4R75_XAWeA
Player One VR World,5.0,"6801 Hollywood Blvd, 151, Los Angeles, CA 90028",Virtual Reality Centers,3,https://www.yelp.com/biz/player-one-vr-world-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,hLFpsTE2JQb09H64ZZHfMg
Urban Light at LACMA,4.5,"5905 Wilshire Blvd, Los Angeles, CA 90036","Museums, Landmarks & Historical Buildings",608,https://www.yelp.com/biz/urban-light-at-lacma-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,b6RlO51jkzRN3hrMsG3B3A
Jerome C. Daniel Overlook above the Hollywood Bowl,4.5,"7036 Mulholland Dr, Hollywood, CA 90068",Parks,151,https://www.yelp.com/biz/jerome-c-daniel-overlook-above-the-hollywood-bowl-hollywood?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,dNdMxtd-0rOL_ippcZx_qg
European Travel,4.4,"1810 W Burbank Blvd, Ste 200, Burbank, CA 91506",Travel Services,92,https://www.yelp.com/biz/european-travel-burbank-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,Fw_EnYcupoX0OtMrVbM2vA
Global Entry,4.4,"11099 S La Cienega Blvd, Ste 155, Los Angeles, CA 90045",Passport & Visa Services,207,https://www.yelp.com/biz/global-entry-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,dOGuVa84myvAaupJumdalA
Western Museum of Flight,4.4,"3315 Airport Dr, Torrance, CA 90505",Museums,47,https://www.yelp.com/biz/western-museum-of-flight-torrance?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,gEOU6U3Ck4UpQy7Pt8MsSg
Skirball Cultural Center,4.4,"2701 N Sepulveda Blvd, Los Angeles, CA 90049","Museums, Venues & Event Spaces",424,https://www.yelp.com/biz/skirball-cultural-center-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,MpWh9Gqh-2XRw8WIeQ1FUQ
Theme Building,4.4,"209 World Way, Los Angeles, CA 90045",Landmarks & Historical Buildings,16,https://www.yelp.com/biz/theme-building-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,YBs_Er7v9T53PvGlJllELg
Los Angeles City Hall,4.3,"200 N Spring St, Ste 101, Los Angeles, CA 90012",Landmarks & Historical Buildings,143,https://www.yelp.com/biz/los-angeles-city-hall-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,wacxur7ZGImz0r0QGLlQcw
H I S International Tours,4.3,"404 S Figueroa St, Los Angeles, CA 90071","Tours, Travel Agents",55,https://www.yelp.com/biz/h-i-s-international-tours-los-angeles-7?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,b_trX4ZpPCkCPcy7PLdibQ
Anaheim Packing District,4.3,"440 S Anaheim Blvd, Anaheim, CA 92805",Landmarks & Historical Buildings,2858,https://www.yelp.com/biz/anaheim-packing-district-anaheim?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,AE6SdSKR3lBSJ2EPmvK-Aw
Marciano Art Foundation,4.3,"4357 Wilshire Blvd, Los Angeles, CA 90010",Art Museums,213,https://www.yelp.com/biz/marciano-art-foundation-los-angeles-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,ok9xITiw71d5Ifj--fCBPA
Egyptian Theatre,4.3,"6712 Hollywood Blvd, Los Angeles, CA 90028","Cinema, Venues & Event Spaces, Landmarks & Historical Buildings",216,https://www.yelp.com/biz/egyptian-theatre-los-angeles?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,Lloy0FUqq32tSCtcAVGk4g
